target,scheme,segment,feature,importance_mean,importance_rank,source_file,feature_family
day_ahead_price,chronos_xgb_residual_xgb_part,peak,diff_96,0.0100533105432987,15,feature_importance_day_ahead_price.csv,diff
day_ahead_price,chronos_xgb_residual_xgb_part,peak,lag_192,0.0097291953861713,16,feature_importance_day_ahead_price.csv,lag
day_ahead_price,chronos_xgb_residual_xgb_part,peak,dayofweek,0.0078597282990813,17,feature_importance_day_ahead_price.csv,calendar_time
day_ahead_price,chronos_xgb_residual_xgb_part,peak,roll_std_96,0.0070664272643625,18,feature_importance_day_ahead_price.csv,roll_std
day_ahead_price,chronos_xgb_residual_xgb_part,peak,minute,0.0069721001200377,19,feature_importance_day_ahead_price.csv,calendar_time
day_ahead_price,chronos_xgb_residual_xgb_part,peak,lag_96,0.0061999200843274,20,feature_importance_day_ahead_price.csv,lag
day_ahead_price,chronos_xgb_residual_xgb_part,peak,is_holiday,0.0044843382202088,21,feature_importance_day_ahead_price.csv,holiday_binary
day_ahead_price,chronos_xgb_residual_xgb_part,peak,cos_slot96,0.0021051645744591,22,feature_importance_day_ahead_price.csv,calendar_time
day_ahead_price,chronos_xgb_residual_xgb_part,peak,after_holiday_1d,0.0,23,feature_importance_day_ahead_price.csv,holiday_binary
day_ahead_price,chronos_xgb_residual_xgb_part,peak,holiday_name_Dragon Boat Festival,0.0,24,feature_importance_day_ahead_price.csv,holiday_name
day_ahead_price,chronos_xgb_residual_xgb_part,peak,holiday_name_Labour Day,0.0,25,feature_importance_day_ahead_price.csv,holiday_name
day_ahead_price,chronos_xgb_residual_xgb_part,peak,holiday_name_Mid-autumn Festival,0.0,26,feature_importance_day_ahead_price.csv,holiday_name
day_ahead_price,chronos_xgb_residual_xgb_part,peak,holiday_name_New Year's Day,0.0,27,feature_importance_day_ahead_price.csv,holiday_name
day_ahead_price,chronos_xgb_residual_xgb_part,peak,holiday_name_None,0.0,28,feature_importance_day_ahead_price.csv,holiday_name
day_ahead_price,chronos_xgb_residual_xgb_part,peak,holiday_name_Spring Festival,0.0,29,feature_importance_day_ahead_price.csv,holiday_name
day_ahead_price,chronos_xgb_residual_xgb_part,peak,holiday_name_Tomb-sweeping Day,0.0,30,feature_importance_day_ahead_price.csv,holiday_name
day_ahead_price,chronos_xgb_residual_xgb_part,peak,is_makeup_workday,0.0,31,feature_importance_day_ahead_price.csv,holiday_binary
day_ahead_price,chronos_xgb_residual_xgb_part,peak,is_weekend,0.0,32,feature_importance_day_ahead_price.csv,calendar_time
day_ahead_price,chronos_xgb_residual_xgb_part,peak,is_workday,0.0,33,feature_importance_day_ahead_price.csv,holiday_binary
day_ahead_price,chronos_xgb_residual_xgb_part,valley,lag_1,0.4965350031852722,1,feature_importance_day_ahead_price.csv,lag
day_ahead_price,chronos_xgb_residual_xgb_part,valley,roll_mean_4,0.2014724016189575,2,feature_importance_day_ahead_price.csv,roll_mean
day_ahead_price,chronos_xgb_residual_xgb_part,valley,sin_slot96,0.0542223677039146,3,feature_importance_day_ahead_price.csv,calendar_time
day_ahead_price,chronos_xgb_residual_xgb_part,valley,dayofweek,0.0229949411004781,4,feature_importance_day_ahead_price.csv,calendar_time
day_ahead_price,chronos_xgb_residual_xgb_part,valley,lag_2,0.0219569932669401,5,feature_importance_day_ahead_price.csv,lag
day_ahead_price,chronos_xgb_residual_xgb_part,valley,lag_96,0.019577533006668,6,feature_importance_day_ahead_price.csv,lag
day_ahead_price,chronos_xgb_residual_xgb_part,valley,slot96,0.0168106779456138,7,feature_importance_day_ahead_price.csv,calendar_time
day_ahead_price,chronos_xgb_residual_xgb_part,valley,diff_1,0.0162774957716465,8,feature_importance_day_ahead_price.csv,diff
day_ahead_price,chronos_xgb_residual_xgb_part,valley,hour,0.0156254228204488,9,feature_importance_day_ahead_price.csv,calendar_time
day_ahead_price,chronos_xgb_residual_xgb_part,valley,roll_mean_16,0.0151163656264543,10,feature_importance_day_ahead_price.csv,roll_mean
