index,target,scheme,segment,feature,feature_family,importance_mean,importance_std,importance_median,retrain_count,importance_cv
264,day_ahead_price,xgb_oof_train,flat,after_holiday_1d,holiday_binary,0.01556377248086318,0.01617657498607022,0.0142188528552651,52,1.0393736483850897
88,day_ahead_price,chronos_xgb_residual_xgb_part,peak,lag_4,lag,0.0154891647398471,0.0,0.0154891647398471,1,0.0
3,day_ahead_price,chronos_xgb_residual_xgb_part,flat,dayofweek,calendar_time,0.0153182307258248,0.0,0.0153182307258248,1,0.0
263,day_ahead_price,xgb_only,valley,slot96,calendar_time,0.0152731630951166,0.0,0.0152731630951166,1,0.0
92,day_ahead_price,chronos_xgb_residual_xgb_part,peak,roll_mean_16,roll_mean,0.0152676226571202,0.0,0.0152676226571202,1,0.0
135,day_ahead_price,xgb_only,flat,dayofweek,calendar_time,0.0152213498950004,0.0,0.0152213498950004,1,0.0
219,day_ahead_price,xgb_only,peak,lag_2,lag,0.0152125898748636,0.0,0.0152125898748636,1,0.0
232,day_ahead_price,xgb_only,valley,before_holiday_1d,holiday_binary,0.0151710854843258,0.0,0.0151710854843258,1,0.0
207,day_ahead_price,xgb_only,peak,holiday_name_National Day,holiday_name,0.0151606258004903,0.0,0.0151606258004903,1,0.0
125,day_ahead_price,chronos_xgb_residual_xgb_part,valley,roll_mean_16,roll_mean,0.0151163656264543,0.0,0.0151163656264543,1,0.0
354,day_ahead_price,xgb_oof_train,peak,lag_96,lag,0.014894827663038738,0.006151848358605854,0.013299707788974,52,0.41301910285753496
26,day_ahead_price,chronos_xgb_residual_xgb_part,flat,roll_mean_16,roll_mean,0.0148165514692664,0.0,0.0148165514692664,1,0.0
235,day_ahead_price,xgb_only,valley,diff_1,diff,0.0147236548364162,0.0,0.0147236548364162,1,0.0
321,day_ahead_price,xgb_oof_train,global,lag_96,lag,0.01451887818984683,0.006726762313733664,0.0151217193342745,52,0.46331143672227676
320,day_ahead_price,xgb_oof_train,global,lag_672,lag,0.014368120052565124,0.004364479946823336,0.01432724669575685,52,0.3037613780269152
367,day_ahead_price,xgb_oof_train,valley,diff_1,diff,0.014356083648565814,0.0019828907890963574,0.01378903491422525,52,0.13812198630470157
28,day_ahead_price,chronos_xgb_residual_xgb_part,flat,roll_mean_672,roll_mean,0.0143490955233573,0.0,0.0143490955233573,1,0.0
255,day_ahead_price,xgb_only,valley,lag_96,lag,0.0142033696174621,0.0,0.0142033696174621,1,0.0
70,day_ahead_price,chronos_xgb_residual_xgb_part,peak,diff_1,diff,0.014154003933072,0.0,0.014154003933072,1,0.0
21,day_ahead_price,chronos_xgb_residual_xgb_part,flat,lag_2,lag,0.0140990437939763,0.0,0.0140990437939763,1,0.0
202,day_ahead_price,xgb_only,peak,diff_1,diff,0.0139250187203288,0.0,0.0139250187203288,1,0.0
104,day_ahead_price,chronos_xgb_residual_xgb_part,valley,diff_96,diff,0.0138649698346853,0.0,0.0138649698346853,1,0.0
224,day_ahead_price,xgb_only,peak,roll_mean_16,roll_mean,0.0138023449108004,0.0,0.0138023449108004,1,0.0
59,day_ahead_price,chronos_xgb_residual_xgb_part,global,roll_mean_16,roll_mean,0.0137326847761869,0.0,0.0137326847761869,1,0.0
155,day_ahead_price,xgb_only,flat,lag_672,lag,0.0137277953326702,0.0,0.0137277953326702,1,0.0
95,day_ahead_price,chronos_xgb_residual_xgb_part,peak,roll_mean_96,roll_mean,0.013660573400557,0.0,0.013660573400557,1,0.0
5,day_ahead_price,chronos_xgb_residual_xgb_part,flat,diff_96,diff,0.0136594241484999,0.0,0.0136594241484999,1,0.0
254,day_ahead_price,xgb_only,valley,lag_672,lag,0.013473373837769,0.0,0.013473373837769,1,0.0
22,day_ahead_price,chronos_xgb_residual_xgb_part,flat,lag_4,lag,0.0133925266563892,0.0,0.0133925266563892,1,0.0
128,day_ahead_price,chronos_xgb_residual_xgb_part,valley,roll_mean_96,roll_mean,0.0133900502696633,0.0,0.0133900502696633,1,0.0
58,day_ahead_price,chronos_xgb_residual_xgb_part,global,minute,calendar_time,0.0133172012865543,0.0,0.0133172012865543,1,0.0
322,day_ahead_price,xgb_oof_train,global,minute,calendar_time,0.013259019706258422,0.007917523223575522,0.01144154276698825,52,0.597142428247418
127,day_ahead_price,chronos_xgb_residual_xgb_part,valley,roll_mean_672,roll_mean,0.013166831806302,0.0,0.013166831806302,1,0.0
108,day_ahead_price,chronos_xgb_residual_xgb_part,valley,holiday_name_National Day,holiday_name,0.013123981654644,0.0,0.013123981654644,1,0.0
129,day_ahead_price,chronos_xgb_residual_xgb_part,valley,roll_std_96,roll_std,0.0130284326151013,0.0,0.0130284326151013,1,0.0
55,day_ahead_price,chronos_xgb_residual_xgb_part,global,lag_4,lag,0.0130190607160329,0.0,0.0130190607160329,1,0.0
169,day_ahead_price,xgb_only,global,diff_1,diff,0.0129778729751706,0.0,0.0129778729751706,1,0.0
146,day_ahead_price,xgb_only,flat,hour,calendar_time,0.0129246786236763,0.0,0.0129246786236763,1,0.0
256,day_ahead_price,xgb_only,valley,minute,calendar_time,0.0129078375175595,0.0,0.0129078375175595,1,0.0
212,day_ahead_price,xgb_only,peak,hour,calendar_time,0.0126795843243598,0.0,0.0126795843243598,1,0.0
147,day_ahead_price,xgb_only,flat,is_holiday,holiday_binary,0.012641517445445,0.0,0.012641517445445,1,0.0
230,day_ahead_price,xgb_only,peak,slot96,calendar_time,0.012547243386507,0.0,0.012547243386507,1,0.0
80,day_ahead_price,chronos_xgb_residual_xgb_part,peak,hour,calendar_time,0.0125044090673327,0.0,0.0125044090673327,1,0.0
278,day_ahead_price,xgb_oof_train,flat,hour,calendar_time,0.012490661866300191,0.009363114343300394,0.00980618037283415,52,0.749609143496397
301,day_ahead_price,xgb_oof_train,global,diff_1,diff,0.012473347023702536,0.002258858846371673,0.01201705774292345,52,0.18109484503872667
334,day_ahead_price,xgb_oof_train,peak,diff_1,diff,0.01246380078821224,0.0017957790030152503,0.012449871748685799,52,0.1440795655779115
222,day_ahead_price,xgb_only,peak,lag_96,lag,0.0124169280752539,0.0,0.0124169280752539,1,0.0
356,day_ahead_price,xgb_oof_train,peak,roll_mean_16,roll_mean,0.012283678645662056,0.008579491325988748,0.010248207021504599,52,0.6984464160513162
158,day_ahead_price,xgb_only,flat,roll_mean_16,roll_mean,0.01210143789649,0.0,0.01210143789649,1,0.0
190,day_ahead_price,xgb_only,global,minute,calendar_time,0.0119770215824246,0.0,0.0119770215824246,1,0.0
137,day_ahead_price,xgb_only,flat,diff_96,diff,0.011750116944313,0.0,0.011750116944313,1,0.0
290,day_ahead_price,xgb_oof_train,flat,roll_mean_16,roll_mean,0.011581279731427196,0.0066727631498036755,0.011355326510965751,52,0.5761680319055181
24,day_ahead_price,chronos_xgb_residual_xgb_part,flat,lag_96,lag,0.0115798637270927,0.0,0.0115798637270927,1,0.0
124,day_ahead_price,chronos_xgb_residual_xgb_part,valley,minute,calendar_time,0.0114113753661513,0.0,0.0114113753661513,1,0.0
15,day_ahead_price,chronos_xgb_residual_xgb_part,flat,is_holiday,holiday_binary,0.0113903461024165,0.0,0.0113903461024165,1,0.0
64,day_ahead_price,chronos_xgb_residual_xgb_part,global,sin_slot96,calendar_time,0.0113539258018136,0.0,0.0113539258018136,1,0.0
196,day_ahead_price,xgb_only,global,sin_slot96,calendar_time,0.0113135809078812,0.0,0.0113135809078812,1,0.0
186,day_ahead_price,xgb_only,global,lag_2,lag,0.0112832775339484,0.0,0.0112832775339484,1,0.0
203,day_ahead_price,xgb_only,peak,diff_96,diff,0.0112659242004156,0.0,0.0112659242004156,1,0.0
