target,scheme,segment,feature,importance_mean,importance_rank,source_file,feature_family
day_ahead_price,xgb_oof_train,flat,sin_slot96,0.0876692240484632,3,feature_importance_day_ahead_price.csv,calendar_time
day_ahead_price,xgb_oof_train,flat,lag_2,0.05544365878002,4,feature_importance_day_ahead_price.csv,lag
day_ahead_price,xgb_oof_train,flat,slot96,0.032037129634633,5,feature_importance_day_ahead_price.csv,calendar_time
day_ahead_price,xgb_oof_train,flat,diff_1,0.0256319156346412,6,feature_importance_day_ahead_price.csv,diff
day_ahead_price,xgb_oof_train,flat,minute,0.0248410609335853,7,feature_importance_day_ahead_price.csv,calendar_time
day_ahead_price,xgb_oof_train,flat,diff_96,0.0203296775535608,8,feature_importance_day_ahead_price.csv,diff
day_ahead_price,xgb_oof_train,flat,lag_96,0.0187212265132424,9,feature_importance_day_ahead_price.csv,lag
day_ahead_price,xgb_oof_train,flat,lag_672,0.0158749266724603,10,feature_importance_day_ahead_price.csv,lag
day_ahead_price,xgb_oof_train,global,lag_1,0.5052960257117565,1,feature_importance_day_ahead_price.csv,lag
day_ahead_price,xgb_oof_train,global,roll_mean_4,0.2752488297052108,2,feature_importance_day_ahead_price.csv,roll_mean
day_ahead_price,xgb_oof_train,global,lag_2,0.0238654194220614,3,feature_importance_day_ahead_price.csv,lag
day_ahead_price,xgb_oof_train,global,sin_slot96,0.0213492756100514,4,feature_importance_day_ahead_price.csv,calendar_time
day_ahead_price,xgb_oof_train,global,slot96,0.0178705648196717,5,feature_importance_day_ahead_price.csv,calendar_time
day_ahead_price,xgb_oof_train,global,diff_96,0.0163983581766772,6,feature_importance_day_ahead_price.csv,diff
day_ahead_price,xgb_oof_train,global,lag_96,0.0145188781898468,7,feature_importance_day_ahead_price.csv,lag
day_ahead_price,xgb_oof_train,global,lag_672,0.0143681200525651,8,feature_importance_day_ahead_price.csv,lag
day_ahead_price,xgb_oof_train,global,minute,0.0132590197062584,9,feature_importance_day_ahead_price.csv,calendar_time
day_ahead_price,xgb_oof_train,global,diff_1,0.0124733470237025,10,feature_importance_day_ahead_price.csv,diff
day_ahead_price,xgb_oof_train,peak,roll_mean_4,0.4177249773190571,1,feature_importance_day_ahead_price.csv,roll_mean
