target,scheme,week_cutoff_time,week_end_time,segment,train_rows,event_type
real_time_price,xgb_oof_train,2025-04-09 00:15:00,2025-04-16,valley,2336,weekly
real_time_price,xgb_oof_train,2025-04-09 00:15:00,2025-04-16,flat,2628,weekly
real_time_price,xgb_oof_train,2025-04-09 00:15:00,2025-04-16,peak,2044,weekly
real_time_price,xgb_oof_train,2025-04-16 00:15:00,2025-04-23,valley,2464,weekly
real_time_price,xgb_oof_train,2025-04-16 00:15:00,2025-04-23,flat,2772,weekly
real_time_price,xgb_oof_train,2025-04-16 00:15:00,2025-04-23,peak,2156,weekly
real_time_price,xgb_oof_train,2025-04-23 00:15:00,2025-04-30,valley,2624,weekly
real_time_price,xgb_oof_train,2025-04-23 00:15:00,2025-04-30,flat,2952,weekly
real_time_price,xgb_oof_train,2025-04-23 00:15:00,2025-04-30,peak,2296,weekly
real_time_price,xgb_oof_train,2025-04-30 00:15:00,2025-05-07,valley,2784,weekly
real_time_price,xgb_oof_train,2025-04-30 00:15:00,2025-05-07,flat,3132,weekly
real_time_price,xgb_oof_train,2025-04-30 00:15:00,2025-05-07,peak,2436,weekly
real_time_price,xgb_oof_train,2025-05-07 00:15:00,2025-05-14,valley,2848,weekly
real_time_price,xgb_oof_train,2025-05-07 00:15:00,2025-05-14,flat,3204,weekly
real_time_price,xgb_oof_train,2025-05-07 00:15:00,2025-05-14,peak,2492,weekly
real_time_price,xgb_oof_train,2025-05-14 00:15:00,2025-05-21,valley,2880,weekly
real_time_price,xgb_oof_train,2025-05-14 00:15:00,2025-05-21,flat,3240,weekly
real_time_price,xgb_oof_train,2025-05-14 00:15:00,2025-05-21,peak,2520,weekly
real_time_price,xgb_oof_train,2025-05-21 00:15:00,2025-05-28,valley,3072,weekly
real_time_price,xgb_oof_train,2025-05-21 00:15:00,2025-05-28,flat,3456,weekly
real_time_price,xgb_oof_train,2025-05-21 00:15:00,2025-05-28,peak,2688,weekly
real_time_price,xgb_oof_train,2025-05-28 00:15:00,2025-06-04,valley,3232,weekly
real_time_price,xgb_oof_train,2025-05-28 00:15:00,2025-06-04,flat,3636,weekly
real_time_price,xgb_oof_train,2025-05-28 00:15:00,2025-06-04,peak,2828,weekly
real_time_price,xgb_oof_train,2025-06-04 00:15:00,2025-06-11,valley,3392,weekly
real_time_price,xgb_oof_train,2025-06-04 00:15:00,2025-06-11,flat,3816,weekly
real_time_price,xgb_oof_train,2025-06-04 00:15:00,2025-06-11,peak,2968,weekly
real_time_price,xgb_oof_train,2025-06-11 00:15:00,2025-06-18,valley,3616,weekly
real_time_price,xgb_oof_train,2025-06-11 00:15:00,2025-06-18,flat,4068,weekly
real_time_price,xgb_oof_train,2025-06-11 00:15:00,2025-06-18,peak,3164,weekly
real_time_price,xgb_oof_train,2025-06-18 00:15:00,2025-06-25,valley,3840,weekly
real_time_price,xgb_oof_train,2025-06-18 00:15:00,2025-06-25,flat,4320,weekly
real_time_price,xgb_oof_train,2025-06-18 00:15:00,2025-06-25,peak,3360,weekly
real_time_price,xgb_oof_train,2025-06-25 00:15:00,2025-07-02,valley,4064,weekly
real_time_price,xgb_oof_train,2025-06-25 00:15:00,2025-07-02,flat,4572,weekly
real_time_price,xgb_oof_train,2025-06-25 00:15:00,2025-07-02,peak,3556,weekly
real_time_price,xgb_oof_train,2025-07-02 00:15:00,2025-07-09,valley,4288,weekly
real_time_price,xgb_oof_train,2025-07-02 00:15:00,2025-07-09,flat,4824,weekly
real_time_price,xgb_oof_train,2025-07-02 00:15:00,2025-07-09,peak,3752,weekly
real_time_price,xgb_oof_train,2025-07-09 00:15:00,2025-07-16,valley,4512,weekly
real_time_price,xgb_oof_train,2025-07-09 00:15:00,2025-07-16,flat,5076,weekly
real_time_price,xgb_oof_train,2025-07-09 00:15:00,2025-07-16,peak,3948,weekly
real_time_price,xgb_oof_train,2025-07-16 00:15:00,2025-07-23,valley,4736,weekly
real_time_price,xgb_oof_train,2025-07-16 00:15:00,2025-07-23,flat,5328,weekly
real_time_price,xgb_oof_train,2025-07-16 00:15:00,2025-07-23,peak,4144,weekly
real_time_price,xgb_oof_train,2025-07-23 00:15:00,2025-07-30,valley,4960,weekly
real_time_price,xgb_oof_train,2025-07-23 00:15:00,2025-07-30,flat,5580,weekly
real_time_price,xgb_oof_train,2025-07-23 00:15:00,2025-07-30,peak,4340,weekly
real_time_price,xgb_oof_train,2025-07-30 00:15:00,2025-08-06,valley,5184,weekly
real_time_price,xgb_oof_train,2025-07-30 00:15:00,2025-08-06,flat,5832,weekly
real_time_price,xgb_oof_train,2025-07-30 00:15:00,2025-08-06,peak,4536,weekly
real_time_price,xgb_oof_train,2025-08-06 00:15:00,2025-08-13,valley,5408,weekly
real_time_price,xgb_oof_train,2025-08-06 00:15:00,2025-08-13,flat,6084,weekly
real_time_price,xgb_oof_train,2025-08-06 00:15:00,2025-08-13,peak,4732,weekly
real_time_price,xgb_oof_train,2025-08-13 00:15:00,2025-08-20,valley,5632,weekly
real_time_price,xgb_oof_train,2025-08-13 00:15:00,2025-08-20,flat,6336,weekly
real_time_price,xgb_oof_train,2025-08-13 00:15:00,2025-08-20,peak,4928,weekly
real_time_price,xgb_oof_train,2025-08-20 00:15:00,2025-08-27,valley,5856,weekly
real_time_price,xgb_oof_train,2025-08-20 00:15:00,2025-08-27,flat,6588,weekly
real_time_price,xgb_oof_train,2025-08-20 00:15:00,2025-08-27,peak,5124,weekly
real_time_price,xgb_oof_train,2025-08-27 00:15:00,2025-09-03,valley,6080,weekly
real_time_price,xgb_oof_train,2025-08-27 00:15:00,2025-09-03,flat,6840,weekly
real_time_price,xgb_oof_train,2025-08-27 00:15:00,2025-09-03,peak,5320,weekly
real_time_price,xgb_oof_train,2025-09-03 00:15:00,2025-09-10,valley,6304,weekly
real_time_price,xgb_oof_train,2025-09-03 00:15:00,2025-09-10,flat,7092,weekly
real_time_price,xgb_oof_train,2025-09-03 00:15:00,2025-09-10,peak,5516,weekly
real_time_price,xgb_oof_train,2025-09-10 00:15:00,2025-09-17,valley,6528,weekly
real_time_price,xgb_oof_train,2025-09-10 00:15:00,2025-09-17,flat,7344,weekly
real_time_price,xgb_oof_train,2025-09-10 00:15:00,2025-09-17,peak,5712,weekly
real_time_price,xgb_oof_train,2025-09-17 00:15:00,2025-09-24,valley,6752,weekly
real_time_price,xgb_oof_train,2025-09-17 00:15:00,2025-09-24,flat,7596,weekly
real_time_price,xgb_oof_train,2025-09-17 00:15:00,2025-09-24,peak,5908,weekly
real_time_price,xgb_oof_train,2025-09-24 00:15:00,2025-10-01,valley,6976,weekly
real_time_price,xgb_oof_train,2025-09-24 00:15:00,2025-10-01,flat,7848,weekly
real_time_price,xgb_oof_train,2025-09-24 00:15:00,2025-10-01,peak,6104,weekly
real_time_price,xgb_oof_train,2025-10-01 00:15:00,2025-10-08,valley,7200,weekly
real_time_price,xgb_oof_train,2025-10-01 00:15:00,2025-10-08,flat,8100,weekly
real_time_price,xgb_oof_train,2025-10-01 00:15:00,2025-10-08,peak,6300,weekly
real_time_price,xgb_oof_train,2025-10-08 00:15:00,2025-10-15,valley,7424,weekly
real_time_price,xgb_oof_train,2025-10-08 00:15:00,2025-10-15,flat,8352,weekly
real_time_price,xgb_oof_train,2025-10-08 00:15:00,2025-10-15,peak,6496,weekly
real_time_price,xgb_oof_train,2025-10-15 00:15:00,2025-10-22,valley,7584,weekly
real_time_price,xgb_oof_train,2025-10-15 00:15:00,2025-10-22,flat,8532,weekly
real_time_price,xgb_oof_train,2025-10-15 00:15:00,2025-10-22,peak,6636,weekly
real_time_price,xgb_oof_train,2025-10-22 00:15:00,2025-10-29,valley,7776,weekly
real_time_price,xgb_oof_train,2025-10-22 00:15:00,2025-10-29,flat,8748,weekly
real_time_price,xgb_oof_train,2025-10-22 00:15:00,2025-10-29,peak,6804,weekly
real_time_price,xgb_oof_train,2025-10-29 00:15:00,2025-11-05,valley,7904,weekly
real_time_price,xgb_oof_train,2025-10-29 00:15:00,2025-11-05,flat,8892,weekly
real_time_price,xgb_oof_train,2025-10-29 00:15:00,2025-11-05,peak,6916,weekly
real_time_price,xgb_oof_train,2025-11-05 00:15:00,2025-11-12,valley,8096,weekly
real_time_price,xgb_oof_train,2025-11-05 00:15:00,2025-11-12,flat,9108,weekly
real_time_price,xgb_oof_train,2025-11-05 00:15:00,2025-11-12,peak,7084,weekly
real_time_price,xgb_oof_train,2025-11-12 00:15:00,2025-11-19,valley,8288,weekly
real_time_price,xgb_oof_train,2025-11-12 00:15:00,2025-11-19,flat,9324,weekly
real_time_price,xgb_oof_train,2025-11-12 00:15:00,2025-11-19,peak,7252,weekly
real_time_price,xgb_oof_train,2025-11-19 00:15:00,2025-11-26,valley,8448,weekly
real_time_price,xgb_oof_train,2025-11-19 00:15:00,2025-11-26,flat,9504,weekly
real_time_price,xgb_oof_train,2025-11-19 00:15:00,2025-11-26,peak,7392,weekly
real_time_price,xgb_oof_train,2025-11-26 00:15:00,2025-12-03,valley,8576,weekly
real_time_price,xgb_oof_train,2025-11-26 00:15:00,2025-12-03,flat,9648,weekly
real_time_price,xgb_oof_train,2025-11-26 00:15:00,2025-12-03,peak,7504,weekly
real_time_price,xgb_oof_train,2025-12-03 00:15:00,2025-12-10,valley,8704,weekly
real_time_price,xgb_oof_train,2025-12-03 00:15:00,2025-12-10,flat,9792,weekly
real_time_price,xgb_oof_train,2025-12-03 00:15:00,2025-12-10,peak,7616,weekly
real_time_price,xgb_oof_train,2025-12-10 00:15:00,2025-12-17,valley,8832,weekly
real_time_price,xgb_oof_train,2025-12-10 00:15:00,2025-12-17,flat,9936,weekly
real_time_price,xgb_oof_train,2025-12-10 00:15:00,2025-12-17,peak,7728,weekly
real_time_price,xgb_oof_train,2025-12-17 00:15:00,2025-12-24,valley,8992,weekly
real_time_price,xgb_oof_train,2025-12-17 00:15:00,2025-12-24,flat,10116,weekly
real_time_price,xgb_oof_train,2025-12-17 00:15:00,2025-12-24,peak,7868,weekly
real_time_price,xgb_oof_train,2025-12-24 00:15:00,2025-12-31,valley,9184,weekly
real_time_price,xgb_oof_train,2025-12-24 00:15:00,2025-12-31,flat,10332,weekly
real_time_price,xgb_oof_train,2025-12-24 00:15:00,2025-12-31,peak,8036,weekly
real_time_price,xgb_oof_train,2025-12-31 00:15:00,2026-01-01,valley,9376,weekly
real_time_price,xgb_oof_train,2025-12-31 00:15:00,2026-01-01,flat,10548,weekly
real_time_price,xgb_oof_train,2025-12-31 00:15:00,2026-01-01,peak,8204,weekly
