target,scheme,segment,model_scope,retrain_time,event_type,feature,importance
day_ahead_price,xgb_only,peak,segment_model,2026-01-01 00:15:00,weekly,diff_96,0.011265924200415611
day_ahead_price,xgb_only,peak,segment_model,2026-01-01 00:15:00,weekly,hour,0.012679584324359894
day_ahead_price,xgb_only,peak,segment_model,2026-01-01 00:15:00,weekly,minute,0.004905634559690952
day_ahead_price,xgb_only,peak,segment_model,2026-01-01 00:15:00,weekly,dayofweek,0.011146463453769684
day_ahead_price,xgb_only,peak,segment_model,2026-01-01 00:15:00,weekly,slot96,0.012547243386507034
day_ahead_price,xgb_only,peak,segment_model,2026-01-01 00:15:00,weekly,sin_slot96,0.02326836809515953
day_ahead_price,xgb_only,peak,segment_model,2026-01-01 00:15:00,weekly,cos_slot96,0.006163143087178469
day_ahead_price,xgb_only,peak,segment_model,2026-01-01 00:15:00,weekly,is_holiday,0.0
day_ahead_price,xgb_only,peak,segment_model,2026-01-01 00:15:00,weekly,is_workday,0.004949610214680433
day_ahead_price,xgb_only,peak,segment_model,2026-01-01 00:15:00,weekly,is_weekend,0.0
day_ahead_price,xgb_only,peak,segment_model,2026-01-01 00:15:00,weekly,is_makeup_workday,0.0
day_ahead_price,xgb_only,peak,segment_model,2026-01-01 00:15:00,weekly,before_holiday_1d,0.0017138062976300716
day_ahead_price,xgb_only,peak,segment_model,2026-01-01 00:15:00,weekly,after_holiday_1d,0.0
day_ahead_price,xgb_only,peak,segment_model,2026-01-01 00:15:00,weekly,holiday_name_Dragon Boat Festival,0.0
day_ahead_price,xgb_only,peak,segment_model,2026-01-01 00:15:00,weekly,holiday_name_Labour Day,0.0
day_ahead_price,xgb_only,peak,segment_model,2026-01-01 00:15:00,weekly,holiday_name_Mid-autumn Festival,0.0
day_ahead_price,xgb_only,peak,segment_model,2026-01-01 00:15:00,weekly,holiday_name_National Day,0.01516062580049038
day_ahead_price,xgb_only,peak,segment_model,2026-01-01 00:15:00,weekly,holiday_name_New Year's Day,0.0
day_ahead_price,xgb_only,peak,segment_model,2026-01-01 00:15:00,weekly,holiday_name_None,0.0006081628380343318
day_ahead_price,xgb_only,peak,segment_model,2026-01-01 00:15:00,weekly,holiday_name_Spring Festival,0.0
day_ahead_price,xgb_only,peak,segment_model,2026-01-01 00:15:00,weekly,holiday_name_Tomb-sweeping Day,0.0
day_ahead_price,chronos_xgb_residual_xgb_part,global,global_model,2026-01-01 00:15:00,weekly,lag_1,0.5748740434646606
day_ahead_price,chronos_xgb_residual_xgb_part,global,global_model,2026-01-01 00:15:00,weekly,lag_2,0.01768994703888893
day_ahead_price,chronos_xgb_residual_xgb_part,global,global_model,2026-01-01 00:15:00,weekly,lag_4,0.013019060716032982
day_ahead_price,chronos_xgb_residual_xgb_part,global,global_model,2026-01-01 00:15:00,weekly,lag_96,0.010044406168162823
day_ahead_price,chronos_xgb_residual_xgb_part,global,global_model,2026-01-01 00:15:00,weekly,lag_192,0.009292485192418098
day_ahead_price,chronos_xgb_residual_xgb_part,global,global_model,2026-01-01 00:15:00,weekly,lag_672,0.0077403089962899685
day_ahead_price,chronos_xgb_residual_xgb_part,global,global_model,2026-01-01 00:15:00,weekly,roll_mean_4,0.2245984673500061
day_ahead_price,chronos_xgb_residual_xgb_part,global,global_model,2026-01-01 00:15:00,weekly,roll_mean_16,0.013732684776186943
day_ahead_price,chronos_xgb_residual_xgb_part,global,global_model,2026-01-01 00:15:00,weekly,roll_mean_96,0.01030921284109354
day_ahead_price,chronos_xgb_residual_xgb_part,global,global_model,2026-01-01 00:15:00,weekly,roll_mean_672,0.02258194237947464
day_ahead_price,chronos_xgb_residual_xgb_part,global,global_model,2026-01-01 00:15:00,weekly,roll_std_96,0.006162778474390507
day_ahead_price,chronos_xgb_residual_xgb_part,global,global_model,2026-01-01 00:15:00,weekly,diff_1,0.010495100170373917
day_ahead_price,chronos_xgb_residual_xgb_part,global,global_model,2026-01-01 00:15:00,weekly,diff_96,0.0071631381288170815
day_ahead_price,chronos_xgb_residual_xgb_part,global,global_model,2026-01-01 00:15:00,weekly,hour,0.006355355493724346
day_ahead_price,chronos_xgb_residual_xgb_part,global,global_model,2026-01-01 00:15:00,weekly,minute,0.013317201286554337
