target,scheme,week_cutoff_time,week_end_time,segment,train_rows
day_ahead_price,xgb_oof_train,2025-08-20 00:15:00,2025-08-27,valley,6240
day_ahead_price,xgb_oof_train,2025-08-20 00:15:00,2025-08-27,flat,7020
day_ahead_price,xgb_oof_train,2025-08-20 00:15:00,2025-08-27,peak,5460
day_ahead_price,xgb_oof_train,2025-08-27 00:15:00,2025-09-03,valley,6464
day_ahead_price,xgb_oof_train,2025-08-27 00:15:00,2025-09-03,flat,7272
day_ahead_price,xgb_oof_train,2025-08-27 00:15:00,2025-09-03,peak,5656
day_ahead_price,xgb_oof_train,2025-09-03 00:15:00,2025-09-10,valley,6688
day_ahead_price,xgb_oof_train,2025-09-03 00:15:00,2025-09-10,flat,7524
day_ahead_price,xgb_oof_train,2025-09-03 00:15:00,2025-09-10,peak,5852
day_ahead_price,xgb_oof_train,2025-09-10 00:15:00,2025-09-17,valley,6912
day_ahead_price,xgb_oof_train,2025-09-10 00:15:00,2025-09-17,flat,7776
day_ahead_price,xgb_oof_train,2025-09-10 00:15:00,2025-09-17,peak,6048
day_ahead_price,xgb_oof_train,2025-09-17 00:15:00,2025-09-24,valley,7136
day_ahead_price,xgb_oof_train,2025-09-17 00:15:00,2025-09-24,flat,8028
day_ahead_price,xgb_oof_train,2025-09-17 00:15:00,2025-09-24,peak,6244
day_ahead_price,xgb_oof_train,2025-09-24 00:15:00,2025-10-01,valley,7360
day_ahead_price,xgb_oof_train,2025-09-24 00:15:00,2025-10-01,flat,8280
day_ahead_price,xgb_oof_train,2025-09-24 00:15:00,2025-10-01,peak,6440
day_ahead_price,xgb_oof_train,2025-10-01 00:15:00,2025-10-08,valley,7584
day_ahead_price,xgb_oof_train,2025-10-01 00:15:00,2025-10-08,flat,8532
day_ahead_price,xgb_oof_train,2025-10-01 00:15:00,2025-10-08,peak,6636
day_ahead_price,xgb_oof_train,2025-10-08 00:15:00,2025-10-15,valley,7808
day_ahead_price,xgb_oof_train,2025-10-08 00:15:00,2025-10-15,flat,8784
day_ahead_price,xgb_oof_train,2025-10-08 00:15:00,2025-10-15,peak,6832
day_ahead_price,xgb_oof_train,2025-10-15 00:15:00,2025-10-22,valley,8032
day_ahead_price,xgb_oof_train,2025-10-15 00:15:00,2025-10-22,flat,9036
day_ahead_price,xgb_oof_train,2025-10-15 00:15:00,2025-10-22,peak,7028
day_ahead_price,xgb_oof_train,2025-10-22 00:15:00,2025-10-29,valley,8224
day_ahead_price,xgb_oof_train,2025-10-22 00:15:00,2025-10-29,flat,9252
day_ahead_price,xgb_oof_train,2025-10-22 00:15:00,2025-10-29,peak,7196
day_ahead_price,xgb_oof_train,2025-10-29 00:15:00,2025-11-05,valley,8384
day_ahead_price,xgb_oof_train,2025-10-29 00:15:00,2025-11-05,flat,9432
day_ahead_price,xgb_oof_train,2025-10-29 00:15:00,2025-11-05,peak,7336
day_ahead_price,xgb_oof_train,2025-11-05 00:15:00,2025-11-12,valley,8544
day_ahead_price,xgb_oof_train,2025-11-05 00:15:00,2025-11-12,flat,9612
