target,scheme,week_cutoff_time,week_end_time,segment,train_rows
real_time_price,xgb_oof_train,2025-12-03 00:15:00,2025-12-10 00:00:00,flat,9792
real_time_price,xgb_oof_train,2025-12-03 00:15:00,2025-12-10 00:00:00,peak,7616
real_time_price,xgb_oof_train,2025-12-10 00:15:00,2025-12-17 00:00:00,valley,8832
real_time_price,xgb_oof_train,2025-12-10 00:15:00,2025-12-17 00:00:00,flat,9936
real_time_price,xgb_oof_train,2025-12-10 00:15:00,2025-12-17 00:00:00,peak,7728
real_time_price,xgb_oof_train,2025-12-17 00:15:00,2025-12-24 00:00:00,valley,8992
real_time_price,xgb_oof_train,2025-12-17 00:15:00,2025-12-24 00:00:00,flat,10116
real_time_price,xgb_oof_train,2025-12-17 00:15:00,2025-12-24 00:00:00,peak,7868
real_time_price,xgb_oof_train,2025-12-24 00:15:00,2025-12-31 00:00:00,valley,9184
real_time_price,xgb_oof_train,2025-12-24 00:15:00,2025-12-31 00:00:00,flat,10332
real_time_price,xgb_oof_train,2025-12-24 00:15:00,2025-12-31 00:00:00,peak,8036
real_time_price,xgb_oof_train,2025-12-31 00:15:00,2026-01-01 00:00:00,valley,9376
real_time_price,xgb_oof_train,2025-12-31 00:15:00,2026-01-01 00:00:00,flat,10548
real_time_price,xgb_oof_train,2025-12-31 00:15:00,2026-01-01 00:00:00,peak,8204
