target,scheme,week_cutoff_time,week_end_time,segment,train_rows,event_type
day_ahead_price,xgb_oof_train,2025-10-29 00:15:00,2025-11-05 00:00:00,peak,7336,weekly
day_ahead_price,xgb_oof_train,2025-11-05 00:15:00,2025-11-12 00:00:00,valley,8544,weekly
day_ahead_price,xgb_oof_train,2025-11-05 00:15:00,2025-11-12 00:00:00,flat,9612,weekly
day_ahead_price,xgb_oof_train,2025-11-05 00:15:00,2025-11-12 00:00:00,peak,7476,weekly
day_ahead_price,xgb_oof_train,2025-11-12 00:15:00,2025-11-19 00:00:00,valley,8736,weekly
day_ahead_price,xgb_oof_train,2025-11-12 00:15:00,2025-11-19 00:00:00,flat,9828,weekly
day_ahead_price,xgb_oof_train,2025-11-12 00:15:00,2025-11-19 00:00:00,peak,7644,weekly
day_ahead_price,xgb_oof_train,2025-11-19 00:15:00,2025-11-26 00:00:00,valley,8896,weekly
day_ahead_price,xgb_oof_train,2025-11-19 00:15:00,2025-11-26 00:00:00,flat,10008,weekly
day_ahead_price,xgb_oof_train,2025-11-19 00:15:00,2025-11-26 00:00:00,peak,7784,weekly
day_ahead_price,xgb_oof_train,2025-11-26 00:15:00,2025-12-03 00:00:00,valley,9120,weekly
day_ahead_price,xgb_oof_train,2025-11-26 00:15:00,2025-12-03 00:00:00,flat,10260,weekly
day_ahead_price,xgb_oof_train,2025-11-26 00:15:00,2025-12-03 00:00:00,peak,7980,weekly
day_ahead_price,xgb_oof_train,2025-12-03 00:15:00,2025-12-10 00:00:00,valley,9248,weekly
day_ahead_price,xgb_oof_train,2025-12-03 00:15:00,2025-12-10 00:00:00,flat,10404,weekly
day_ahead_price,xgb_oof_train,2025-12-03 00:15:00,2025-12-10 00:00:00,peak,8092,weekly
day_ahead_price,xgb_oof_train,2025-12-10 00:15:00,2025-12-17 00:00:00,valley,9408,weekly
day_ahead_price,xgb_oof_train,2025-12-10 00:15:00,2025-12-17 00:00:00,flat,10584,weekly
day_ahead_price,xgb_oof_train,2025-12-10 00:15:00,2025-12-17 00:00:00,peak,8232,weekly
day_ahead_price,xgb_oof_train,2025-12-17 00:15:00,2025-12-24 00:00:00,valley,9568,weekly
day_ahead_price,xgb_oof_train,2025-12-17 00:15:00,2025-12-24 00:00:00,flat,10764,weekly
day_ahead_price,xgb_oof_train,2025-12-17 00:15:00,2025-12-24 00:00:00,peak,8372,weekly
day_ahead_price,xgb_oof_train,2025-12-24 00:15:00,2025-12-31 00:00:00,valley,9760,weekly
day_ahead_price,xgb_oof_train,2025-12-24 00:15:00,2025-12-31 00:00:00,flat,10980,weekly
day_ahead_price,xgb_oof_train,2025-12-24 00:15:00,2025-12-31 00:00:00,peak,8540,weekly
day_ahead_price,xgb_oof_train,2025-12-31 00:15:00,2026-01-01 00:00:00,valley,9952,weekly
day_ahead_price,xgb_oof_train,2025-12-31 00:15:00,2026-01-01 00:00:00,flat,11196,weekly
day_ahead_price,xgb_oof_train,2025-12-31 00:15:00,2026-01-01 00:00:00,peak,8708,weekly
